Filière,Produit,Production_Tonnes,year
maraîchage,Framboise,24579.6469999999,2017
maraîchage,Fève Verte,105760.0,2017
maraîchage,Haricot Vert,169067.0,2017
maraîchage,Menthe,91658.0,2017
maraîchage,Myrtille,17241.54,2017
maraîchage,Mûrier,128.0,2017
maraîchage,Navet,121171.0,2017
maraîchage,Niora,28880.0,2017
maraîchage,Oignon Vert,69204.0,2017
maraîchage,Patate Douce,14239.0,2017
maraîchage,Petit Pois Vert,81249.0,2017
maraîchage,Piment Poivron,191096.0,2017
oléagineuses,Arachide,35733.0,2017
oléagineuses,Sésame,1000.0,2017
oléagineuses,Tournesol,23792.32,2017
palmiers-dattiers,Palmier Dattier,129561.675565161,2017
rosacées,Abricotier,112538.2,2017
rosacées,Autres Plantations Fruitières,38796.0,2017
rosacées,Avocatier,41695.34,2017
rosacées,Caroubier,58623.0,2017
rosacées,Cerisier,13405.7,2017
rosacées,Cognassier,45745.7,2017
rosacées,Figuier,137933.81875,2017
rosacées,Grenadier,140671.1,2017
rosacées,Noyer,12637.1,2017
rosacées,Néflier,5806.7,2017
rosacées,Pacanier,283.5,2017
rosacées,Pistachier,103.0,2017
rosacées,Poirier,34024.8,2017
rosacées,Prunier,179386.908848337,2017
rosacées,Pêcher Nectarine,138559.75,2017
vignes,Raisin De Cuve,91793.763,2017
agrumes,Autres Agrumes,6290.0,2018
agrumes,Citron,39686.8083235546,2018
agrumes,Orange Autres,27878.0774447694,2018
agrumes,Orange Navel Lane Late,23801.0,2018
agrumes,Orange Navel Late,10459.8006256394,2018
agrumes,Orange Navelina,1668.0,2018
agrumes,Orange Salustiana,21093.0,2018
agrumes,Orange Washignton Sanguine,77341.4999999999,2018
agrumes,Pamplemousse,1485.0,2018
agrumes,Petit Fruit Autres,91070.46,2018
agrumes,Petit Fruit Fortune,897.0,2018
agrumes,Petit Fruit Nour,154214.05,2018
agrumes,Petit Fruit Nova,24116.0,2018
agrumes,Petit Fruit Nules,156347.430751711,2018
agrumes,Petit Fruit Ortanique,16690.8,2018
amandiers,Amandier,117270.039,2018
céréales,Avoine,21424.0,2018
céréales,Mais,118392.0,2018
céréales,Riz,63037.1,2018
céréales,Sorgho,3316.9,2018
fourragères,Autres Cultures Fourragères,73285.0,2018
fourragères,Féverole,27669.0,2018
fourragères,Lupin,44170.0,2018
fourragères,Mélange Fourrager,104728.0,2018
fourragères,Pois Fourrager,13016.0,2018
fourragères,Sorgho Fourrager,9610.0,2018
fourragères,Triticale,15276.0,2018
industrielles,Autres Cultures Industrielles,813.03,2018
industrielles,Coriandre Récoltée,5053.0,2018
industrielles,Câprier,35950.0,2018
industrielles,Henné,5237.0,2018
industrielles,Rosier,3635.1,2018
industrielles,Safran,6.4445,2018
légumineuses,Autres Légumineuses,26628.0,2018
légumineuses,Fève,148744.56146,2018
légumineuses,Lentille,31738.83566,2018
légumineuses,Orobe,2832.5,2018
légumineuses,Petit Pois,35469.9361,2018
légumineuses,Pois Chiche,36312.15,2018
maraîchage,Ail,13611.0,2018
maraîchage,Artichaut,44591.0,2018
maraîchage,Asperge,0.0,2018
maraîchage,Aubergine,52754.0,2018
maraîchage,Betterave Potager,18858.0,2018
maraîchage,Choux Fleur,59055.7,2018
maraîchage,Choux Pomme,51054.0,2018
maraîchage,Concombre,47787.0,2018
maraîchage,Courge Courgette,180462.94,2018
maraîchage,Fraisier,143440.0,2018
maraîchage,Framboise,22460.0,2018
maraîchage,Fève Verte,142003.7,2018
maraîchage,Haricot Vert,156016.5,2018
maraîchage,Menthe,98704.0,2018
maraîchage,Myrtille,25314.0,2018
maraîchage,Mûrier,542.0,2018
maraîchage,Navet,144949.0,2018
maraîchage,Niora,948.0,2018
maraîchage,Oignon Vert,101185.0,2018
maraîchage,Patate Douce,18120.0,2018
maraîchage,Petit Pois Vert,123219.15,2018
oléagineuses,Arachide,32152.0,2018
oléagineuses,Sésame,798.0,2018
oléagineuses,Tournesol,37602.15,2018
palmiers-dattiers,Palmier Dattier,111701.0,2018
rosacées,Abricotier,101612.4,2018
rosacées,Autres Plantations Fruitières,31851.5,2018
rosacées,Avocatier,51170.0,2018
rosacées,Caroubier,64130.0,2018
rosacées,Cerisier,13664.5,2018
rosacées,Cognassier,59443.88,2018
rosacées,Figuier,128380.05,2018
rosacées,Grenadier,113479.3,2018
rosacées,Noyer,12467.1,2018
rosacées,Néflier,5353.9,2018
rosacées,Pacanier,261.0,2018
rosacées,Pistachier,66.0,2018
rosacées,Poirier,35201.5,2018
rosacées,Prunier,205222.407402181,2018
rosacées,Pêcher Nectarine,157893.0,2018
vignes,Raisin De Cuve,104501.25,2018
agrumes,Autres Agrumes,14847.3333333333,2019
agrumes,Citron,44919.04,2019
agrumes,Orange Autres,33481.1,2019
