date,Produit,Production_tonnes
1977-01-01,Fraises,50.0
1978-01-01,Fraises,50.0
1979-01-01,Fraises,50.0
1980-01-01,Fraises,50.0
1981-01-01,Fraises,50.0
1982-01-01,Fraises,70.0
1983-01-01,Fraises,50.0
1984-01-01,Fraises,100.0
1985-01-01,Fraises,200.0
1986-01-01,Fraises,600.0
1987-01-01,Fraises,800.0
1988-01-01,Fraises,1000.0
1989-01-01,Fraises,1400.0
1990-01-01,Fraises,1000.0
1991-01-01,Fraises,1900.0
1992-01-01,Fraises,3000.0
1993-01-01,Fraises,6000.0
1994-01-01,Fraises,8000.0
1995-01-01,Fraises,10000.0
1996-01-01,Fraises,20000.0
1997-01-01,Fraises,30000.0
1998-01-01,Fraises,40000.0
1999-01-01,Fraises,58200.0
2000-01-01,Fraises,105000.0
2001-01-01,Fraises,90000.0
2002-01-01,Fraises,70000.0
2003-01-01,Fraises,90500.0
2004-01-01,Fraises,106100.0
2005-01-01,Fraises,118600.0
2006-01-01,Fraises,112000.0
2007-01-01,Fraises,120000.0
2008-01-01,Fraises,130000.0
2009-01-01,Fraises,355020.0
2010-01-01,Fraises,140600.0
2011-01-01,Fraises,110716.0
2012-01-01,Fraises,139683.0
2013-01-01,Fraises,145233.0
2014-01-01,Fraises,137388.0
2015-01-01,Fraises,141100.36
2016-01-01,Fraises,136856.0
2017-01-01,Fraises,161793.4
2018-01-01,Fraises,143440.0
2019-01-01,Fraises,167827.0
2020-01-01,Fraises,166955.0
2021-01-01,Fraises,141075.0
2022-01-01,Fraises,132296.55
2023-01-01,Fraises,137275.0
1989-01-01,Haricots verts,4000.0
1990-01-01,Haricots verts,6000.0
1991-01-01,Haricots verts,8000.0
